Syn_prob,Radius_val
2.6863813174287974,0
1.2068122066131177,1
0.7314230894844056,2
0.5147853084468167,3
0.3919655886416248,4
0.3131571070622107,5
0.25842949184586966,6
0.21828721822164499,7
0.18763952935285474,8
0.16351430168649547,9
0.14406066838967016,10
0.12806621130984538,11
0.11470370423979528,12
0.1033894894131235,13
0.09370003243076724,14
0.08532056985160702,15
0.0780123216878729,16
0.07159088585960316,17
0.06591160591827362,18
0.06085942092702246,19
0.056341673838130366,20
0.052282919125130424,21
0.048621110079568396,22
0.04530475629242459,23
0.04229077506452949,24
0.03954284686421151,25
0.037030142089521906,26
0.0347263248914045,27
0.032608766192516715,28
0.03065791639029868,29
0.028856801185701404,30
0.027190613240656622,31
0.025646379070661432,32
0.024212685485549862,33
0.022879453521137592,34
0.021637750515876644,35
0.020479633030932375,36
0.019398014866748515,37
0.018386555621094404,38
0.01743956615445906,39
0.008557834724714447,40
0.008127199131537047,41
0.00772270493360479,42
0.007342396511219303,43
0.0069844978756411335,44
0.006647392848754382,45
0.0063296077995329885,46
0.0060297965609594825,47
0.005746727213042553,48
0.005479270468316721,49
0.005226389437916092,50
0.004987130590742582,51
0.004760615746783625,52
0.004546034969373754,53
0.004342640241019808,54
0.00414973982402218,55
0.003966693221095266,56
0.003792906662976032,57
0.0036278290599843083,58
0.003470948362966303,59
0.0033217882862617075,60
0.0031799053514905916,61
0.003044886216225676,62
0.0029163452561395287,63
0.0027939223731092405,64
0.0026772810051197775,65
0.0025661063167115522,66
0.002460103551235676,67
0.0023589965283668853,68
0.0022625262722289416,69
0.0021704497571476723,70
0.002082538759499907,71
0.001998578805398091,72
0.001918368205067181,73
0.001841717165751787,74
0.0017684469758567412,75
0.0016983892537868028,76
0.0016313852556261697,77
0.001567285236395378,78
0.0015059478601530888,79
0.001447239654680508,80
0.0013910345069048017,81
0.0013372131955909235,82
0.001285662958163688,83
0.001236277088819559,84
0.0011889545653533183,85
0.001143599702363487,86
0.0011001218287138076,87
0.0010584349873205936,88
0.0010184576555081648,89
0.0009801124843305234,90
0.0009433260553974707,91
0.0009080286538700875,92
0.0008741540564051352,93
0.0008416393329310978,94
0.0008104246612328658,95
0.0007804531534066349,96
0.0007516706933241785,97
0.0007240257843154924,98
0.0006974694063428228,99
0.0006719548819969845,100
0.0006474377506999323,101
0.0006238756505457091,102
0.0006012282072561435,103
0.0005794569297675786,104
0.0005585251120023017,105
0.0005383977404114652,106
0.0005190414069076254,107
0.0005004242268331105,108
0.000482515761636554,109
0.0004652869459536818,110
0.000448710018810499,111
0.00043275845868711736,112
0.0004174069221991469,113
0.00040263118617051637,114
0.0003884080928876285,115
0.0003747154983390065,116
0.0003615322232583406,117
0.000348838006800974,118
0.0003366134626955744,119
0.0003248400377232111,120
0.0003134999723859641,121
0.0003025762636362282,122
0.0002920526295464371,123
0.00028191347580655926,124
0.0002721438639442267,125
0.00026272948116887017,126
0.0002536566117476651,127
0.0002449121098268189,128
0.00023648337361722584,129
0.0002283583208684754,130
0.00022052536555994495,131
0.00021297339574211752,132
0.00020569175246523016,133
0.0001986702097362845,134
0.00019189895544892996,135
0.0001853685732340454,136
0.00017907002518198733,137
0.0001729946353902831,138
0.00016713407429335317,139
0.0001614803437332851,140
0.00015602576273308964,141
0.00015076295393611682,142
0.0001456848306772861,143
0.00014078458465386975,144
0.00013605567416525983,145
0.0001314918128929379,146
0.00012708695919346174,147
0.00012283530587876046,148
0.00011873127045946885,149
0.00011476948582836168,150
0.00011094479136217855,151
0.00010725222442132812,152
0.00010368701222804697,153
0.00010024456410462995,154
9.692046405434962e-05,155
9.371046366855794e-05,156
9.061047534438793e-05,157
8.76165657982356e-05,158
8.472494986101776e-05,159
8.193198454189747e-05,160
7.923416334786835e-05,161
7.66281108472469e-05,162
7.411057746568406e-05,163
7.167843450397264e-05,164
6.932866936735499e-05,165
6.705838099666859e-05,166
6.486477549206304e-05,167
6.274516192052195e-05,168
6.069694829886513e-05,169
5.871763774428628e-05,170
5.680482478489885e-05,171
5.495619182312322e-05,172
5.316950574507648e-05,173
5.144261466950077e-05,174
4.977344483002737e-05,175
4.81599975849139e-05,176
4.660034654863437e-05,177
4.509263484001003e-05,178
4.3635072441782294e-05,179
4.222593366678866e-05,180
4.086355472613659e-05,181
3.954633139495998e-05,182
3.8272716771578474e-05,183
3.7041219126052244e-05,184
3.585039983431696e-05,185
3.469887139426327e-05,186
3.3585295520282e-05,187
3.250838131296602e-05,188
3.146688350080354e-05,189
3.045960075083651e-05,190
2.948537404540925e-05,191
2.854308512224278e-05,192
2.7631654975212447e-05,193
2.675004241330469e-05,194
2.5897242675360126e-05,195
2.5072286098298216e-05,196
2.4274236836636618e-05,197
2.3502191631198146e-05,198
2.2755278625006962e-05,199
2.203265622444895e-05,200
2.133351200386362e-05,201
2.065706165181168e-05,202
2.0002547957335454e-05,203
1.9369239834607364e-05,204
1.875643138442818e-05,205
1.8163440991094867e-05,206
1.7589610453238032e-05,207
1.7034304147273064e-05,208
1.6496908222168885e-05,209
1.597682982430239e-05,210
1.5473496351208502e-05,211
1.4986354733087289e-05,212
1.4514870740984233e-05,213
1.4058528320594472e-05,214
1.3616828950694328e-05,215
1.318929102523854e-05,216
1.2775449258207988e-05,217
1.2374854110320166e-05,218
0.0,219
